canonical_key,htm,qtm,exhaustive,optimal_algs
1awkhpw3,16,21,false,"[""U' F' R D2 B L2 B L2 B2 R' U' R D2 R' F U""]"
1b2juykg,14,18,false,"[""R' L F' R F L2 U2 L F R' F2 R2 U R'""]"
1b2jwjz4,11,12,false,"[""R U' B L' B L B' U2 B' R' U'""]"
1b55kygg,14,15,false,"[""R' D' R' D R' B2 U' B U' R' U R B R'""]"
1b6z60d3,14,18,false,"[""U' R' F U2 R D R D' R' U2 F' R2 U2 R'""]"
1bya8pw9,12,19,false,"[""R U2 R2 F R' L2 B2 D B2 R2 L2 F'""]"
1cqwayo4,14,16,false,"[""U R' U2 R B' D' R D B' L' B' L B' U2""]"
1ct8kop4,15,20,false,"[""F' U' F U R2 D R' U2 R D' R2 F' U2 F U2""]"
1cvbgaiw,13,17,false,"[""U' F U2 F2 U' F2 U' F' U' F' U' F U2""]"
1d0021om,11,15,false,"[""R' B' R2 B U2 R U F R2 F' R2""]"
1d0074zs,16,19,false,"[""F' U' F U' L2 F2 L' F U2 F L' U L U' L' U'""]"
1d1k8ha0,14,16,false,"[""U2 L F L' F' U2 F U' R U' R' L F' L'""]"
1g99q3hj,15,17,false,"[""F' U F U' B2 R F R' B2 F' L' B' R' B L""]"
1g9uahi9,14,19,false,"[""U R2 U B' D B2 U' L' B D L D2 B2 R2""]"
1gtlsntg,13,18,false,"[""U' F' U2 F U' F2 U2 R' F R U2 F2 U""]"
1gue0bp3,12,15,false,"[""U R L' B L B' U2 B' U2 R B R2""]"
1hv2c2lk,14,20,false,"[""R' D B2 U2 B2 L' B2 L D' R2 U2 R' U R'""]"
1hzhgzk7,15,20,false,"[""L F' R' L2 U2 R L' F' R2 F L' F' L' F2 R2""]"
1hzhl6xs,14,16,false,"[""B D L B' U L' B D' B R B2 R U2 R'""]"
1hzqu6ty,13,14,false,"[""L' B' R U R' U' B U2 L U L' U L""]"
1i8urlt4,15,19,false,"[""U R B' R B R2 U R2 B' R' B2 U2 B' U R'""]"
1i8utj5d,14,17,false,"[""B2 D B U' B' D L' F2 L D2 R' B U B""]"
1idbm1zr,15,17,false,"[""U' F' U F2 R' F' R' U R' U R U2 R' U' R'""]"
1idbp8g4,14,19,false,"[""U R U2 R' U B U2 R2 D B D' R2 U2 B'""]"
1ixths2a,15,19,false,"[""L F2 U F2 U' F2 L F' D R' F R D' F L2""]"
1jxghpqv,13,14,false,"[""F' U2 F B' U F' U' F B U F' U' F""]"
1jy8p89l,15,19,false,"[""R U D2 L B2 U' R B' R' U B2 L' D2 U R'""]"
1jy8v11u,15,19,false,"[""R' U2 B' R B R2 L F R F' L' R2 U2 R U'""]"
1knzmyc3,14,17,false,"[""F' B2 L B' L B L' B2 R' U2 R U F U""]"
1maiup6x,14,16,false,"[""U R B U2 B' R' U' B' U F' U' F B U2""]"
22gf5awi,13,15,false,"[""R2 B' R' B2 U L F U' F' L' B' R' U""]"
6qfuat3,9,9,false,"[""B L F L F L' F' L' B'""]"
6r0bt7a,14,16,false,"[""U' D B' D L2 B' L' B' U B' D2 R F U'""]"
6r0iwk9,14,16,false,"[""F' B' R B R' U2 R U R' U' R' U2 F R""]"
6rsl454,14,16,false,"[""R B U' B' U' R F' R2 B U F' U F2 B'""]"
6vfg507,13,16,false,"[""B' U R2 U' D' R' F R F U2 F2 D B""]"
6vp1rv4,14,20,false,"[""R' U' R2 B U2 B D L2 D L2 D2 B2 R' U""]"
6vyb3fa,14,18,false,"[""U' R2 U R F R F2 U F2 R F' U R' U2""]"
6w7p02f,14,18,false,"[""U2 F' U2 F2 R' F' D' F U' F2 U F' D R""]"
6zld95g,15,18,false,"[""U2 F' U2 F U' R U' R' F R' F' R2 U R' U""]"
6zlg9wg,14,18,false,"[""R' D R2 F' L2 D L' D' L' F R2 D' R U2""]"
6zwu5o1,14,20,false,"[""U2 B' U' R U F2 D2 B' L B D2 F2 B U2""]"
70dgjv4,15,20,false,"[""F R B L2 B L2 B2 R' F U2 F2 R U R' U'""]"
70oxc0m,15,18,false,"[""R' U2 R U R2 F U' R' F' L' U R L U2 R""]"
738m4ns,15,21,false,"[""D2 B2 D B2 L2 B D L D2 B' D2 F U' F' L""]"
751xsav,12,17,false,"[""U B' R2 U' R2 U R2 B U2 R U2 R'""]"
77ec6x1,14,19,false,"[""U' F2 R2 D' L2 U' L F' L F U D R2 F2""]"
77np569,13,16,false,"[""U' F2 U' F U' F' U2 F L' U' L U2 F""]"
77nrurl,13,14,false,"[""F' U' B L2 B' U L' U' L B L F B'""]"
77x0zm1,14,17,false,"[""R L F2 R2 F' R2 F' L' U' R B' R' B R'""]"
77x1zmc,14,19,false,"[""B L F L2 B' R2 B2 D2 B2 R' B L B' R'""]"
78yelns,14,19,false,"[""F2 D' B2 U2 B' L B U2 B' L' B' D F2 U'""]"
78yfw5j,13,17,false,"[""U2 F' R2 L F L' F' R2 U2 R' F R F""]"
78yigrc,13,17,false,"[""R U2 R' F' U2 L' U2 L U' L F' L' F2""]"
78yj040,13,15,false,"[""U' R B' U' R' U R2 B R2 F' U' F U""]"
7980e8j,13,15,false,"[""U' B' U' B' R2 B R2 U B R U' R' U""]"
7982uls,16,21,false,"[""U' R U R' F2 U' F U' F' U2 F2 U2 R U2 R' U'""]"
79h7a8m,14,15,false,"[""U' R F U F' U F U2 F' R' U F' U' F""]"
7btezhk,14,21,false,"[""U' F U2 F2 U L2 D' B D2 R2 D B' D2 L2""]"
7btra74,14,20,false,"[""U2 R U' R2 B2 R F2 R' B2 R F U' F U2""]"
7c2w8w9,15,19,false,"[""L' B2 D2 R2 D R D' B' L B2 R B L F' L'""]"
7dmyhl1,14,17,false,"[""U' B U2 F2 U L U L' U' F U' F U2 B'""]"
7g6x2sp,14,18,false,"[""F' R2 F R U' F' R F2 D R D' F2 U2 F""]"
7g6x453,14,14,false,"[""U' R B U' B' R' U F' U' F U' F' U' F""]"
7grdc2f,15,16,false,"[""F' U L' U L F U' B2 R F R' B F' R' B""]"
7ha58q9,12,13,false,"[""R F' L' U' L U F R' U2 F' U' F""]"
7ha7qm1,13,17,false,"[""F2 L F' D F D B R' B' D2 F2 L' U2""]"
7ha90fm,12,13,false,"[""R U2 R' U' R L' B' U' B U L R'""]"
7knt2d1,14,16,false,"[""U R F R' F' U2 F R F' U B U2 B' R'""]"
7kxbswj,13,16,false,"[""R' U2 R2 U R U' B' D' R D B U2 R""]"
7kxijo6,16,20,false,"[""R B U F' B U2 F2 D' R2 D B R' L' D2 L F'""]"
7l6mzqs,16,24,false,"[""R U2 B U' R2 B2 R' B2 U' R' U2 B2 R B U2 R2""]"
7l6vqls,15,18,false,"[""U F' U' F U2 L F' U F L2 B L B2 U B""]"
7lpj0wg,15,21,false,"[""L F R2 U2 L F R2 F R2 L' F' U2 R L' U2""]"
7p31dom,13,18,false,"[""U2 R U2 R2 U' B' R2 F' B U' F R U2""]"
7pco3ep,14,18,false,"[""F2 D' F U F' D R2 L' U' L U R2 F2 U""]"
7pnodxs,15,16,false,"[""R' U' B U B' U R F' U' F2 B' R' B F' U'""]"
7pnpfm1,14,16,false,"[""F' U' L' U L U2 F' D' L' U' L U D F2""]"
7q4njwy,15,17,false,"[""F' L U2 L' U' F2 L F U' L' F' U F U' F'""]"
8prj2p4,11,14,false,"[""F' U L' U2 L U2 L' U' L U2 F""]"
8qjnrz7,12,14,false,"[""U' B U' F2 B L F U L' U' F B2""]"
8qjtw74,14,18,false,"[""U2 D R U' R' U' D' L' U2 F' U2 F L U2""]"
8qsua21,11,14,false,"[""L F2 L' F D R2 U' R2 D' F U'""]"
8qt59ud,13,18,false,"[""R U F R2 F' R2 U R2 U R2 U' R U2""]"
8uhupt4,14,16,false,"[""R' U' R F' U' R' U2 R U' L' U2 L F U'""]"
8uyr3ip,14,18,false,"[""F L2 U2 L F L' U2 L2 F' U R' F R F'""]"
8uywlyx,12,14,false,"[""U' F' L F' L2 U B' U' B L F2 U'""]"
8v9wy0y,11,12,false,"[""F' U2 B' U' R' U R U F U' B""]"
8yxd4wl,14,19,false,"[""U2 F2 B L' F2 B' U F2 B L' F L2 F B'""]"
8zfxh89,15,18,false,"[""U2 F' B' U2 B L' F' L2 F U' B L B' F U""]"
8zpbyhd,14,18,false,"[""R2 L2 D B D R D2 L R F' U' F U2 L""]"
91zk6ea,14,21,false,"[""F D' B2 D' B2 D2 F2 L2 U L2 F2 R' F' R""]"
92947kj,15,20,false,"[""F' U' F2 U' F U F2 U' L F2 L' U2 F U2 F'""]"
92980t0,15,20,false,"[""L' U' R F2 D2 B D2 F2 U R' U' L F U2 F'""]"
92ibhpd,14,17,false,"[""R B L U2 L' U2 B' U' R' U' R U R' U2""]"
93jxlbl,14,17,false,"[""R U' R' U R' F2 R F L' U2 L2 F L' U""]"
93t9jbr,15,19,false,"[""U2 F2 L F' L' U' F2 U F' D B' R' B U2 D'""]"
942jv9x,15,19,false,"[""U2 L F' L' B' R' F2 R2 F R' F' R' F2 B U""]"
942rqes,15,19,false,"[""U F U2 D F2 U' D' L D' L U2 D L2 F U""]"
96epjc8,13,17,false,"[""U' L' U R F2 D2 R' B2 D' R D' F2 R'""]"
96etzsl,14,17,false,"[""R U R B U B' U' R' B U2 B' U2 R' U2""]"
96znazp,14,14,false,"[""L F U' F' L F' L' U F R U R' L' U'""]"
97z5nax,13,17,false,"[""R' U2 R2 U F R2 F' R2 U F R F' U'""]"
98894xy,15,17,false,"[""U2 R' U' F R' D R D' R F2 R' U R F U""]"
988g5tc,15,19,false,"[""F' R' U2 R2 L' B R' B R B' R' U2 L U2 F""]"
9au0py9,12,14,false,"[""U2 L F L' B L2 F' L' F' L' B' U'""]"
9b5g3dg,13,15,false,"[""R B' U' D' B U' B' U2 D R B R2 U""]"
9beou43,14,19,false,"[""R2 B2 R2 U R U R B' R2 U' R B2 U' R'""]"
9ce8dxe,15,23,false,"[""U2 B2 R F2 L D2 B2 U' L U B2 L' B2 F2 U""]"
9cyw1vl,16,23,false,"[""U R U R F2 R' U2 R2 L F R L' U2 R2 F2 R2""]"
9f9eatj,14,18,false,"[""R B U L U' L' U2 L' B' R B2 L B2 R2""]"
9frwga1,13,14,false,"[""R2 B' R' D' R U' R U R' D B U' R'""]"
9frxwcm,14,16,false,"[""R U F D R2 D' F2 U B F U' B' R' U""]"
9gap6ya,15,21,false,"[""R U2 R F2 B' R L2 D' R' D L2 F2 B R2 U'""]"
9gar8yv,14,19,false,"[""R2 B2 D2 L F L' B D2 F' R2 B U' F U""]"
9gjyj3a,15,19,false,"[""R2 D L' B L D' R2 F' U2 F U' R U2 R' U""]"
9jxrjp0,15,18,false,"[""U R2 B2 U' F B R F' B' U B2 R' U R' U""]"
9jxzuya,13,18,false,"[""F' U' L D' L2 U2 L' D L2 U2 F2 U' F'""]"
9k973ms,14,16,false,"[""R B' D' B U B' D R B R2 U' F' U2 F""]"
9l10swo,16,19,false,"[""F' U2 F R U' R2 D' F' D R U2 L' F' U F L""]"
9of2q7r,14,16,false,"[""U B U B' U F' R' U2 R B U F U2 B'""]"
ap36rk7,15,20,false,"[""R2 L' B U2 R' B R' U' R2 U B' U2 R2 U' L""]"
apk1kp4,15,16,false,"[""U F2 U' F U F U R' F' R U L' U L F""]"
at94pr4,15,16,false,"[""F' U B L' F' L' U' L' U F U2 L U B' F""]"
atq3swm,14,16,false,"[""F' U R' F U' F' R F2 R' F' U R2 U' R'""]"
au1c31x,14,18,false,"[""F2 L2 U R' L' F' R L U' L2 F U2 F U'""]"
auag2mu,14,18,false,"[""L F U2 R' U' R' F' U R U' L' B2 R2 B2""]"
auaiv79,15,22,false,"[""U F' L2 F2 B2 U' L B2 L' U F2 B2 L2 U F""]"
b19h8cm,15,18,false,"[""U2 R' U2 B' R U R U B U L U2 L' U R""]"
b1kv5hu,14,15,false,"[""F' L U B U B' R' F' U' L' F R F U2""]"
b2k93rs,12,15,false,"[""R2 U B U' B2 R2 F' R B R' U' F""]"
b34v7rr,14,17,false,"[""U' F R2 D R' U R D' R2 U' F2 U' F U'""]"
b354umu,16,21,false,"[""U2 R B' L2 U' B R B' R' U L2 B2 U B' U2 R'""]"
b5fgo7o,14,19,false,"[""U R U2 B' R2 D2 L' F2 L D R' D B R2""]"
b5qqvjp,14,17,false,"[""R U R2 F R2 F U2 R' U' R U' F' R' F'""]"
b601gea,13,17,false,"[""F' U F2 D F' U2 F D' F2 L' U2 L F""]"
b6028p1,13,18,false,"[""U2 F' L F' L D2 R' B' R D2 L2 F2 U""]"
b7aq5w9,15,19,false,"[""L U L2 D' B D' B' D2 L2 F' U2 R U L' R'""]"
baf3lhg,13,16,false,"[""U2 R U2 R2 L F R F' U F' U' F L'""]"
baf6uxs,13,18,false,"[""B L2 D2 F D' L' D' L2 B2 U2 B U L""]"
beu9t1j,14,18,false,"[""U B' R2 F' U2 F R' U2 R F' U2 F R B""]"
bfbdyj9,15,21,false,"[""U R2 U2 R2 F' D R2 D' U2 R F R F2 U' F'""]"
bfbe1hg,14,17,false,"[""R U2 R2 F' L F' L' F' R F' R U' R' U2""]"
bfmiam8,13,19,false,"[""U' R D' R2 U2 R2 U' R2 U' R2 D R' U2""]"
bioyy6u,15,20,false,"[""U2 L' B' D B2 R' B2 L U2 L' R2 D' B L U'""]"
bip397k,14,20,false,"[""R U2 R' U R B2 U2 B2 U' B2 U' B2 R' U'""]"
bjs9edy,14,17,false,"[""U L2 B2 L' F' R' F R L B2 L' F L' U'""]"
bn65k5s,14,20,false,"[""U2 L' D2 B2 R B R' B D2 R L U2 R' U2""]"
bnfj3es,15,20,false,"[""R U B' R U R2 U R2 U B2 U B2 U B R2""]"
bo7h15f,14,17,false,"[""U F' U2 F2 R' F R F U' F U2 L' U L""]"
bo7m1ad,14,17,false,"[""U' R2 U B U' B R' B2 L U2 L' U R' U'""]"
caiusg1,15,20,false,"[""R' D B2 U' B U2 B' U2 L' B' L2 U L' B2 D'""]"
cas4zu1,15,19,false,"[""R U' R' F' B U' F U' B2 D' R2 D B2 U2 B'""]"
cas6eeg,15,19,false,"[""F L' U' B' U' B2 L' B' L2 U2 F L F L' F2""]"
cashjpj,13,18,false,"[""F D' L2 B' U2 B U' L2 D F2 U F2 U'""]"
cazmq2a,13,17,false,"[""R2 F' U R' U2 R F R' U F R2 F' U2""]"
cbb2iva,15,19,false,"[""F' L' U' B2 R B R2 U' R2 B' R' B2 U L F""]"
cbk8ar7,15,19,false,"[""F2 B D F' U2 F D2 L' D F' U2 B' R' F' R""]"
cbka0rp,15,19,false,"[""L2 F2 L' U R' U' F' U R2 U2 F' L' F R' F'""]"
cbkb8ud,15,19,false,"[""L' D2 B' R' B L U L' D2 L D2 B' U' B D2""]"
cey2s8o,14,17,false,"[""R U' R2 F' U' F2 U R U' F' R U2 R' U""]"
cey432e,13,14,false,"[""F' U' F R U R B' R' B R2 F R F'""]"
cf7ds9i,14,15,false,"[""F U F R U' B U' B' L' U' R' U2 L F'""]"
cjde0sj,14,18,false,"[""F2 L F2 U F' B' L' U2 L U2 B U' L' F""]"
cjdfpqa,14,20,false,"[""F2 U' F L F' L U R2 U' L2 U R2 F2 U2""]"
cjoec84,15,18,false,"[""U2 F2 L U' L F L F' L U L2 F U' L F""]"
cjw2ueg,14,19,false,"[""U' R' U2 B U2 L2 D F2 D' L2 U B' U' R""]"
ck5kjyr,15,23,false,"[""U B2 R2 B R2 B' R F2 D2 B' L D2 F2 B' U2""]"
ckghyd1,12,13,false,"[""U L U L' F' L' U' L B' F U2 B""]"
ckgpx1x,13,15,false,"[""F' L' U2 B' U2 R' U R B U L F U""]"
dcg69p1,11,13,false,"[""R U2 B U L' B L B R B R2""]"
dcre69y,13,17,false,"[""F' R' L' F2 D2 R' B' L' B' D2 R2 F' U'""]"
dd0soz9,13,17,false,"[""R2 F' U2 F U2 R' B' R B F R2 F' U'""]"
deblmjp,15,18,false,"[""U' R2 D B2 U B' U' R D B D' B' R' D' R2""]"
debnh34,14,16,false,"[""R U F R2 U R' D' F2 D F' R' F' U' F'""]"
dekxifo,15,16,false,"[""B' R' U' R U R2 U' R' U R' B U B' R' B""]"
dekyqud,15,18,false,"[""U2 R' L D L' F L2 D' L2 F' L D' F L' R""]"
del0dbd,13,18,false,"[""U' R U2 R' U' F2 R2 F L F' R2 L' F2""]"
dgxah3s,14,19,false,"[""F2 U R2 U F' U R U' R' F U' R2 U2 F2""]"
dh6q2k3,13,15,false,"[""R' U' R2 F B' R F' R' D' R D B U2""]"
dj03gpl,13,16,false,"[""F2 D' F' D F' R2 B' U' R' U B R' U2""]"
dlcitmp,13,13,false,"[""R L F' L' F R' F' U' B L F L' B'""]"
dlm1d2d,13,15,false,"[""U2 R U' B U' B' U R' U' F' U' F U2""]"
dlm321s,14,17,false,"[""F' U' F R L' U R2 F R F2 U F U2 L""]"
dnhftxd,14,16,false,"[""B L' B R' D' R B' L2 U' F2 U L' B' U""]"
e9jcghs,15,18,false,"[""U2 R B' U2 B U2 R B L' B' L B' R' B R'""]"
e9jg1hy,13,17,false,"[""U F2 B2 D L' D' B2 R' F U F' R F2""]"
e9jkrvp,15,17,false,"[""F' U' L' U' R L B' R' F2 R B R2 F' R U'""]"
e9ssenl,14,16,false,"[""U' F' U2 B' U F U' B F' L' U2 L U' F""]"
ea245zr,15,19,false,"[""U F' U2 F2 R' F U' F2 D' F2 U F' D F' R""]"
eabit5s,13,15,false,"[""F U2 D R F R' B' R2 B F' D' F' U'""]"
eaky0lg,14,17,false,"[""U2 R L U' B U' B D L' D' B2 U2 R' L'""]"
ee9x3yx,15,17,false,"[""B2 R F R F' B U R' D R' U R D' B U2""]"
eehciex,14,19,false,"[""F2 L F2 U F' U' L' U2 F U R U2 R' U2""]"
ef1wa5x,14,17,false,"[""F' U2 L' U L2 F' L' U B U' F2 U B' U""]"
ef1zs4g,15,19,false,"[""U F2 L F2 U B' R' U R F' B U' L2 U2 F""]"
eiwkjmp,14,19,false,"[""B U2 F' U2 L F U F2 L' F U2 F B' U2""]"
ej7ur74,15,17,false,"[""U' F' L' B2 R B R' B U' B' U' B L F U2""]"
ej7vxw9,14,17,false,"[""F' U2 L' U2 L U' L F' L' F2 R' F R F'""]"
f0l5w2a,15,22,false,"[""F2 L' F2 U2 F' U2 F2 L B L' F2 B' U F U2""]"
f0lh3wm,16,22,false,"[""R U' R' F2 R F' L2 F R' L2 F2 L F' L F2 L2""]"
f0uj639,13,18,false,"[""U D2 L F2 U R' F R U' F2 L' U2 D2""]"
f0uv71g,15,18,false,"[""F U' F' L F L' F' L2 U L' F2 L U' L2 F""]"
f38y5qo,13,18,false,"[""R U B' R D' R2 D R2 B2 U B' R2 U2""]"
f50jn94,15,20,false,"[""U2 R L' U2 R' F' L2 F' L2 D' L D F2 L U""]"
f59shns,16,18,false,"[""L' U' B' U2 F' U B D' B' U2 B U D F U' L""]"
f59yptd,14,20,false,"[""B2 R2 B U2 R U2 R2 U' B U2 L U' L' U""]"
f7eqe5k,14,18,false,"[""R' U R2 L D' F2 D R' L' U' R2 U' R2 U""]"
f7eta9y,13,18,false,"[""F' L F D' L2 D U2 L2 F2 U L' F2 U""]"
f7nyiag,14,18,false,"[""F' U2 F' U' F2 R' F D R U' R2 D' R2 F""]"
f7o185d,12,17,false,"[""B L F2 L2 B' L U2 L U2 F2 L' U""]"
fa0a6a9,15,18,false,"[""R' U2 D' F' B' U' R' U R' F R2 B D U2 R""]"
fa0dxfk,13,18,false,"[""R F B R2 B2 R' B2 R' F' B2 R B R2""]"
fbrze3a,14,17,false,"[""U L U F U' F' L2 U R U' L U2 R' U2""]"
fc1dzwm,14,17,false,"[""F R F' U2 R2 B L' B L F B2 R F' U""]"
fdlgo7l,15,20,false,"[""R B D' R2 U2 R2 D B2 R B R2 B' U B U""]"
fdli2rl,16,22,false,"[""U' R L F R D2 L2 B' L' B2 L' D2 L' U2 R2 U'""]"
fdlnbmc,13,18,false,"[""R U R' F2 U2 F2 U2 F R' F2 R U' F""]"
fdloqjm,15,20,false,"[""R U' R' U2 R U2 B2 D B' U' B D' B2 R' U2""]"
ffxsbv9,15,19,false,"[""F' U' L' U2 B U L' U' B2 U B L2 U2 F U""]"
fg747ba,14,17,false,"[""U F2 U' L' U L2 F L' U2 L' U' L U' F""]"
fg758d3,13,21,false,"[""U2 B2 L2 F L B2 R' B2 L' D2 F' L2 B2""]"
fg7dqud,14,19,false,"[""R F R2 F R2 F2 R' F2 U' F U R' F2 R""]"
fhrgjdf,14,18,false,"[""F R' D B2 U' B2 D L B2 L' U D2 F' U""]"
fhrh6bm,15,20,false,"[""R U R2 U2 R' U2 R U' R U2 R' U B' R2 B""]"
fmhn8gm,15,18,false,"[""F2 L' B' D' R D U2 B L2 F' L' R' U' R U'""]"
g8v9nwy,15,20,false,"[""R2 B L' U2 L F L U2 L' B' U2 R' F' R2 U""]"
g8vaknp,14,15,false,"[""U B' U' B U2 F' U F L R U R' U L'""]"
g92iss4,15,19,false,"[""U2 D' B L' B' U' L U2 L U2 D F2 D' L' D""]"
gdahlkg,11,13,false,"[""U R2 B' R' B R' U2 R U R' U""]"
gdho8qg,15,23,false,"[""B2 R' U' B R2 B R B2 U R' U2 B2 U2 R2 B2""]"
gdhwi6s,14,17,false,"[""U2 F' U' F2 R F U B U' F' B' R2 F' R""]"
gdswm1g,11,13,false,"[""R U R' U' B' D' R2 D B2 U' B'""]"
ghplmyq,14,20,false,"[""U2 R' U2 R D' R U2 R' F2 U' F2 D R2 U""]"
gihguj9,14,17,false,"[""F' U' R' U2 F U2 F' U' L' U R L F U2""]"
gihk0n4,14,21,false,"[""D2 L' F2 L B L' F2 B D2 R D2 B2 L D2""]"
gzv3jgp,15,20,false,"[""R U2 F' R' F' U R F2 R' F U2 F' U2 F2 U""]"
gzv4yv4,14,16,false,"[""R F' L' B' L2 D2 F' R D' F D' L' F R'""]"
h06fzti,15,20,false,"[""F R F U B2 D L2 D' B2 U2 F' R' F2 U' F""]"
h06gi6a,14,18,false,"[""U L' U2 F2 L2 D F U' F2 D' F' U' L U'""]"
h06lbuf,14,16,false,"[""B' R' U B' R F' B U F R' B' R2 B2 U""]"
h2992yp,14,14,false,"[""F' U' B L F' L' F B' U' F U R U R'""]"
h4c2xrd,14,16,false,"[""R B' R' B2 R U' R' U B2 R B U R' U'""]"
h4c3ayd,14,16,false,"[""U2 R L F R' F2 R D R' D' F R' L' U""]"
h4c5xn4,14,18,false,"[""R2 F2 L' B' R' B' R B2 L F2 R' U R' U'""]"
h4lnj7m,13,18,false,"[""F' B2 L D' B2 D B2 L2 U L B2 U' F""]"
h65qnns,14,18,false,"[""F' L' U2 L2 F2 L' F' U F' U R' F2 R F'""]"
h65x1xf,15,18,false,"[""L F2 U' F2 U R F B U' F' B' R' F2 U L'""]"
h8rcrdj,12,16,false,"[""D U' B U B2 L2 D' R2 D L2 B D'""]"
hasd3yr,14,17,false,"[""F' U' L U2 L' U' F' L F U' L' U2 F U2""]"
hey7vc8,14,19,false,"[""F U D2 L2 B U2 L2 D F D R2 F U' F'""]"
hey8787,12,15,false,"[""B U2 R2 D B' D' R2 B' U' B U' B'""]"
heyds29,14,17,false,"[""F' U' F' L' B L' B' R2 L' F L' F' R2 F2""]"
hf9kwox,13,13,false,"[""F' L' U' R U B' U' B U' L U R' F""]"
hf9p00m,14,15,false,"[""U R U B U L U' B' R B L' B' R2 U""]"
hjfk8l0,14,15,false,"[""R' F R F' U' L D F D' L2 B' U' B L""]"
hjxy4o7,12,13,false,"[""F' U F U' F' U F U2 F' U F U'""]"
ij9ohad,14,18,false,"[""B U2 B' R U' R U R2 U2 R F' U F R2""]"
ij9u9v4,14,20,false,"[""U2 F' U2 R' F' U2 F2 R' F R F2 U2 R F""]"
ij9v0h1,15,18,false,"[""F' U F U R2 U R2 F D' F D F U2 F U'""]"
ilasehl,13,17,false,"[""F2 L F L2 B2 D' B U' B' D B2 L F""]"
ilm6kwi,15,19,false,"[""R B U' L U L' U2 B' U2 R' U2 R U' R' U2""]"
ilvmzus,14,19,false,"[""F2 U2 F D R' F R D' F D F2 U2 D' F2""]"
iqait1u,15,21,false,"[""U F2 B L' F' L2 B' R' F' R' B2 D2 B2 R2 U""]"
iqapo9s,14,17,false,"[""U' F U R' F2 D' F2 D R U' F2 U' F U'""]"
iqaqurs,13,19,false,"[""L U2 F2 R2 U B U' B' R2 F2 U2 L' U""]"
is412ma,14,18,false,"[""U' R' U' F R' F' U2 R U2 R2 U2 R' U' R""]"
iu6yctx,15,17,false,"[""U2 F' R' U' R U2 L' U' L U' F R' U R U""]"
iu728i9,15,19,false,"[""U' F2 R U' R2 F' R2 U R' F2 U F' U F U""]"
iugjjmg,15,17,false,"[""B' R2 B U' F R F2 U F R B' R B R U'""]"
iurw8hv,13,15,false,"[""L U F2 U' F' D U F' U' F D' F2 L'""]"
j9suuky,15,20,false,"[""U' L U L2 U2 B R' D2 R B' U2 L2 F' U' L'""]"
